Deadline [s], Deadline [min], Reneging Rate r, Mean, Variance, Left Value, Right Value
1200,20,0.05,8.6025,0.8478,8.5063,8.6986
1320,22,0.0455,7.8927,0.6394,7.8092,7.9761
1500,25,0.04,7.1878,0.4803,7.1155,7.2602
1980,33,0.0303,5.923,0.2801,5.8677,5.9783
2400,40,0.025,5.1647,0.1845,5.1198,5.2095
2700,45,0.0222,4.8468,0.1848,4.8019,4.8917
3000,50,0.02,4.5446,0.1364,4.5061,4.5832
3300,55,0.0182,4.3103,0.1135,4.2752,4.3455
3600,60,0.0167,4.1271,0.113,4.092,4.1622
3900,65,0.0154,3.9703,0.0993,3.9374,4.0032
4200,70,0.0143,3.8402,0.0954,3.8079,3.8724
4500,75,0.0133,3.7304,0.0915,3.6988,3.762
4800,80,0.0125,3.618,0.0753,3.5893,3.6466
5100,85,0.0118,3.5236,0.0825,3.4936,3.5536
5400,90,0.0111,3.451,0.058,3.4258,3.4761
5700,95,0.0105,3.3559,0.0632,3.3296,3.3821
6000,100,0.01,3.3356,0.069,3.3082,3.363
6600,110,0.0091,3.1967,0.0536,3.1725,3.2209
7200,120,0.0083,3.1446,0.0429,3.123,3.1662
7800,130,0.0077,3.0864,0.0365,3.0665,3.1064
8400,140,0.0071,3.0354,0.0302,3.0172,3.0536
9000,150,0.0067,3.0057,0.0301,2.9875,3.0239
