Deadline [s], Deadline [min], Reneging Rate r, Mean, Variance, Left Value, Right Value
1200,20,0.05,3.1509,0.0259,3.1341,3.1677
1320,22,0.0455,2.9447,0.0251,2.9282,2.9612
1500,25,0.04,2.7181,0.0234,2.7022,2.7341
1980,33,0.0303,2.1865,0.0196,2.1719,2.2012
2400,40,0.025,1.8172,0.0167,1.8037,1.8308
2700,45,0.0222,1.6194,0.017,1.6058,1.633
3000,50,0.02,1.4412,0.0129,1.4294,1.4531
3300,55,0.0182,1.2931,0.0105,1.2824,1.3038
3600,60,0.0167,1.1716,0.0102,1.161,1.1822
3900,65,0.0154,1.0684,0.0089,1.0585,1.0782
4200,70,0.0143,0.9852,0.0084,0.9757,0.9948
4500,75,0.0133,0.9122,0.0072,0.9034,0.9211
4800,80,0.0125,0.8455,0.0054,0.8378,0.8532
5100,85,0.0118,0.7891,0.0062,0.7809,0.7973
5400,90,0.0111,0.7481,0.0037,0.7417,0.7544
5700,95,0.0105,0.7002,0.0038,0.6937,0.7067
6000,100,0.01,0.6769,0.0039,0.6704,0.6834
6600,110,0.0091,0.6128,0.0024,0.6076,0.6179
7200,120,0.0083,0.5807,0.0019,0.5761,0.5853
7800,130,0.0077,0.5492,0.0013,0.5454,0.5529
8400,140,0.0071,0.527,0.001,0.5238,0.5303
9000,150,0.0067,0.5101,0.0008,0.5072,0.513
