Deadline [s], Deadline [min], Reneging Rate r, MRT, Mean, Variance, Left Value, Right Value, Included?
13200, 220, 0.0045, 18.2546, 18.0936, 10.4711, 15.0085, 21.1787, OK
13800, 230, 0.0043, 18.2652, 19.0276, 6.0481, 16.6830, 21.3723, OK
4500, 75, 0.0133, 13.6128, 11.9831, 1.8957, 10.6704, 13.2958, 
3300, 55, 0.0182, 13.7401, 13.4496, 5.2824, 11.2584, 15.6409, OK
5400, 90, 0.0111, 13.9828, 14.1957, 4.8064, 12.1056, 16.2859, OK
3900, 65, 0.0154, 13.8809, 13.5979, 4.4501, 11.5867, 15.6091, OK
9600, 160, 0.0063, 15.7692, 15.0351, 11.5030, 11.8016, 18.2686, OK
9000, 150, 0.0067, 14.9926, 15.4493, 6.1416, 13.0865, 17.8120, OK
15600, 260, 0.0038, 17.7160, 18.1770, 2.5020, 16.6690, 19.6851, OK
18000, 300, 0.0033, 19.2138, 21.4783, 5.9003, 19.1625, 23.7942, OK
2700, 45, 0.0222, 15.7208, 16.2158, 19.2048, 12.0377, 20.3938, OK
11400, 190, 0.0053, 16.6364, 15.9500, 6.9598, 13.4348, 18.4651, OK
7200, 120, 0.0083, 15.8227, 16.4948, 13.1615, 13.0360, 19.9536, OK
6600, 110, 0.0091, 14.6594, 15.7363, 3.1342, 14.0484, 17.4241, OK
16800, 280, 0.0036, 17.6826, 17.4214, 16.6178, 13.5349, 21.3079, OK
12000, 200, 0.0050, 17.2548, 15.1256, 1.9412, 13.7973, 16.4540, 
3600, 60, 0.0167, 14.2387, 14.2491, 2.9939, 12.5995, 15.8988, OK
5700, 95, 0.0105, 13.9817, 14.0089, 3.5537, 12.2116, 15.8062, OK
2400, 40, 0.0250, 15.8899, 15.4316, 12.8496, 12.0141, 18.8492, OK
16200, 270, 0.0037, 19.4439, 17.0083, 6.1939, 14.6356, 19.3811, 
1500, 25, 0.0400, 20.9521, 20.0450, 21.3184, 15.6430, 24.4470, OK
10800, 180, 0.0056, 16.9886, 16.5053, 7.1932, 13.9483, 19.0623, OK
15000, 250, 0.0040, 17.0249, 16.9287, 15.5178, 13.1731, 20.6844, OK
12600, 210, 0.0048, 17.1624, 16.9114, 3.4201, 15.1483, 18.6746, OK
4800, 80, 0.0125, 14.0016, 14.2024, 4.9663, 12.0778, 16.3271, OK
1320, 22, 0.0455, 23.9732, 28.0690, 9.8350, 25.0791, 31.0589, 
6000, 100, 0.0100, 14.0144, 13.0528, 1.9411, 11.7245, 14.3811, OK
10200, 170, 0.0059, 16.9111, 18.0514, 19.5154, 13.8397, 22.2631, OK
1200, 20, 0.0500, 24.1862, 24.5043, 40.3579, 18.4476, 30.5610, OK
1980, 33, 0.0303, 17.0143, 17.6958, 49.1656, 11.0108, 24.3808, OK
7800, 130, 0.0077, 13.5860, 14.3141, 3.4413, 12.5454, 16.0827, OK
5100, 85, 0.0118, 13.9693, 13.2267, 0.5349, 12.5294, 13.9240, 
4200, 70, 0.0143, 13.4594, 12.4567, 6.2009, 10.0826, 14.8308, OK
8400, 140, 0.0071, 16.5792, 15.7891, 0.9784, 14.8460, 16.7321, OK
14400, 240, 0.0042, 18.8719, 20.2029, 7.4331, 17.6036, 22.8023, OK
17400, 290, 0.0034, 16.2737, 17.9272, 4.2052, 15.9721, 19.8823, OK
3000, 50, 0.0200, 15.5991, 13.8641, 4.0293, 11.9504, 15.7779, OK
