Deadline [s], Deadline [min], Reneging Rate r, Mean, Variance, Left Value, Right Value
1200,20,0.05,23.5876,16.7516,23.1602,24.015
1320,22,0.0455,21.2286,11.4618,20.8751,21.5821
1500,25,0.04,19.0618,7.9209,18.7679,19.3557
1980,33,0.0303,16.0671,3.847,15.8623,16.2719
2400,40,0.025,14.6872,2.1751,14.5332,14.8412
2700,45,0.0222,14.5155,2.2277,14.3596,14.6713
3000,50,0.02,14.3368,1.6259,14.2036,14.4699
3300,55,0.0182,14.3738,1.4109,14.2498,14.4978
3600,60,0.0167,14.5443,1.4082,14.4204,14.6682
3900,65,0.0154,14.7622,1.2779,14.6442,14.8803
4200,70,0.0143,14.9768,1.2156,14.8617,15.0919
4500,75,0.0133,15.2644,1.3623,15.1425,15.3863
4800,80,0.0125,15.4914,1.2514,15.3746,15.6082
5100,85,0.0118,15.7466,1.2451,15.6301,15.8631
5400,90,0.0111,15.9327,1.2151,15.8176,16.0478
5700,95,0.0105,16.0964,1.3111,15.9768,16.2159
6000,100,0.01,16.4521,1.5641,16.3215,16.5827
6600,110,0.0091,16.6931,1.6739,16.558,16.8282
7200,120,0.0083,17.0477,1.5016,16.9198,17.1757
7800,130,0.0077,17.3651,1.6996,17.229,17.5012
8400,140,0.0071,17.493,1.6604,17.3584,17.6275
9000,150,0.0067,17.7203,1.9977,17.5727,17.8679
